Date,Value
2024-12-31,42997.95
2023-12-31,42513.42
2022-12-31,42044.02
2021-12-31,41606.29
2020-12-31,41192.2
2019-12-31,40857.83
2018-12-31,40626.72
2017-12-31,40324.98
2016-12-31,39839.53
2015-12-31,39462.62
2014-12-31,38863.07
2013-12-31,38039.49
2012-12-31,37511.34
2011-12-31,37221.67
2010-12-31,36925.7
2009-12-31,36595.42
2008-12-31,38488.53
2007-12-31,38940.21
2006-12-31,38280.74
2005-12-31,37585.37
2004-12-31,36719.45
2003-12-31,36065.42
2002-12-31,35059.27
2001-12-31,34350.65
2000-12-31,33530.54
1999-12-31,32522.8
1998-12-31,31622.75
1997-12-31,30684.8
1996-12-31,29497.58
1995-12-31,28837.14
1994-12-31,28225.36
1993-12-31,27236.87
1992-12-31,26625.24
1991-12-31,26594.25
1990-12-31,26981.17
1989-12-31,26858.7
1988-12-31,26260.12
1987-12-31,24879.29
1986-12-31,23676.91
1985-12-31,23008.74
1984-12-31,22139.02
1983-12-31,21682.03
1982-12-31,20812.97
1981-12-31,20378.55
1980-12-31,20547.12
